Date,shots,shots_on_target,shots_on_target_pct,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,venue_code,time,day_code,hometeam_code,opponent_code,target,xg_rolling,npxg_rolling,shots_rolling,tackles_rolling,h2h_avg_result_3,h2h_avg_goals_3,h2h_avg_goals_against_3
2017-08-12,14,4,28.6,19.5,2,0,0,1.9,1.9,0.17,-0.9,-0.9,10,6,6,4,0,2,9,22.2,7,9,2,7,9,19,8,1,0,17.5,5,6,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-12,6,2,33.3,18.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,10,8,9,1,0,6,12,50.0,6,10,5,5,12,22,43,1,1,17.5,5,7,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-13,18,6,33.3,19.0,0,0,0,2.5,2.5,0.14,-0.5,-0.5,16,11,8,6,2,2,6,33.3,4,5,0,5,5,21,26,0,0,13.5,6,0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-13,21,5,23.8,18.3,0,0,0,2.1,2.1,0.1,1.9,1.9,14,8,3,6,5,2,5,40.0,3,6,1,5,11,25,21,0,1,16.0,6,2,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-13,9,1,11.1,17.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5,21,16,12,7,2,8,31,25.8,23,14,8,6,12,33,27,1,0,16.0,6,9,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-13,6,2,33.3,11.9,0,0,0,0.8,0.8,0.13,-0.8,-0.8,12,9,9,3,0,6,16,37.5,10,17,7,10,8,20,33,0,1,13.5,6,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-19,23,13,56.5,18.6,2,0,0,2.5,2.5,0.11,-1.5,-1.5,24,16,6,14,4,6,16,37.5,10,5,1,4,6,30,11,0,1,15.0,5,3,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-19,4,1,25.0,15.6,1,0,0,0.7,0.7,0.18,-0.7,-0.7,21,11,11,8,2,4,17,23.5,13,16,5,11,29,50,28,1,0,15.0,5,10,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-20,18,6,33.3,18.8,0,0,0,0.7,0.7,0.04,-0.7,-0.7,14,9,9,5,0,6,15,40.0,9,10,3,7,4,18,15,1,1,16.0,6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-20,9,2,22.2,16.6,1,0,0,0.7,0.7,0.08,1.3,1.3,31,22,18,12,1,11,27,40.7,16,20,6,14,10,41,44,1,0,16.0,6,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-21,19,6,31.6,20.0,1,0,0,1.1,1.1,0.06,-0.1,-0.1,12,8,6,5,1,5,8,62.5,3,11,0,11,10,22,7,1,1,20.0,0,6,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-21,7,2,28.6,22.1,0,0,0,0.6,0.6,0.08,0.4,0.4,19,12,17,1,1,7,20,35.0,13,8,4,4,16,35,32,1,0,20.0,0,4,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-26,8,3,37.5,23.5,1,0,0,0.6,0.6,0.07,-0.6,-0.6,17,13,8,6,3,8,16,50.0,8,9,3,6,7,24,24,0,0,15.0,5,9,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-26,17,8,47.1,17.0,0,0,0,2.3,2.3,0.14,0.7,0.7,14,12,4,9,1,8,16,50.0,8,10,0,10,15,29,22,0,1,15.0,5,8,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-27,7,0,0.0,19.3,0,0,0,0.4,0.4,0.05,-0.4,-0.4,17,12,11,6,0,4,15,26.7,11,12,7,5,16,33,28,1,0,13.5,6,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-27,8,0,0.0,16.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6,13,11,2,9,2,1,16,6.3,15,6,3,3,15,28,23,3,0,16.0,6,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-27,18,7,38.9,19.4,0,0,0,1.0,1.0,0.05,1.0,1.0,14,9,7,4,3,3,10,30.0,7,9,2,7,7,21,25,0,1,13.5,6,1,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-27,18,10,55.6,15.9,0,0,0,3.1,3.1,0.17,0.9,0.9,19,16,8,9,2,7,16,43.8,9,14,2,12,12,31,18,0,1,16.0,6,3,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-09,12,1,8.3,13.5,0,0,0,0.9,0.9,0.08,-0.9,-0.9,17,10,10,4,3,7,17,41.2,10,8,3,5,15,32,23,1,1,15.0,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-09,13,10,76.9,14.0,0,0,0,2.4,2.4,0.18,2.6,2.6,14,10,8,4,2,5,15,33.3,10,10,2,8,12,26,15,0,1,12.5,5,6,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-09,7,3,42.9,20.5,2,0,0,0.7,0.7,0.1,-0.7,-0.7,15,12,11,3,1,8,12,66.7,4,2,0,2,18,33,22,1,0,12.5,5,3,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-09,15,6,40.0,17.3,1,0,0,1.8,1.8,0.12,1.2,1.2,13,9,3,8,2,3,9,33.3,6,17,6,11,11,24,34,1,0,15.0,5,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-17,11,2,18.2,17.5,0,0,0,1.4,1.4,0.14,-1.4,-1.4,19,15,11,7,1,9,23,39.1,14,13,6,7,19,38,28,0,0,13.5,6,5,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-17,15,6,40.0,15.7,2,1,1,2.9,2.1,0.15,1.1,0.9,14,10,2,9,3,3,7,42.9,4,13,2,11,15,29,13,1,1,16.0,6,2,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-17,13,4,30.8,21.1,0,0,0,0.8,0.8,0.06,-0.8,-0.8,13,10,6,6,1,3,9,33.3,6,15,4,11,13,26,21,1,1,13.5,6,1,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-17,7,3,42.9,14.5,0,0,0,1.1,1.1,0.16,-1.1,-1.1,22,17,13,5,4,11,20,55.0,9,8,4,4,15,37,32,1,0,16.0,6,4,2,0,0.633333333333333,0.6333333333333354,8.666666666666666,17.666666666666668,0.0,0.0,0.0
2017-09-23,5,0,0.0,20.0,0,0,0,0.6,0.6,0.13,-0.6,-0.6,16,9,11,3,2,4,18,22.2,14,16,9,7,15,31,34,2,0,15.0,5,10,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-23,10,4,40.0,19.2,0,0,0,0.6,0.6,0.06,1.4,1.4,19,15,5,11,3,5,14,35.7,9,14,3,11,18,37,25,0,1,12.5,5,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
