,Date,goals_for,goals_against,goals,shots,shots_on_target,shots_on_target_pct,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,venue_code,time,day_code,hometeam_code,opponent_code,target
0,2017-08-13,2,0,2,18,6,33.3,19.0,0,0,0,2.5,2.5,0.14,-0.5,-0.5,16,11,8,6,2,2,6,33.3,4,5,0,5,5,21,26,0,0,13.5,6,0,8,1
1,2017-08-20,1,2,0,18,6,33.3,18.8,0,0,0,0.7,0.7,0.04,-0.7,-0.7,14,9,9,5,0,6,15,40.0,9,10,3,7,4,18,15,1,1,16.0,6,0,1,0
2,2017-09-09,3,0,3,15,6,40.0,17.3,1,0,0,1.8,1.8,0.12,1.2,1.2,13,9,3,8,2,3,9,33.3,6,17,6,11,11,24,34,1,0,15.0,5,0,4,1
3,2017-09-23,3,2,3,15,5,33.3,21.0,2,0,0,1.2,1.2,0.08,1.8,1.8,19,13,13,6,0,7,13,53.8,6,12,1,11,9,28,42,0,0,12.5,5,0,9,1
4,2017-10-22,4,1,4,14,5,35.7,17.7,0,0,0,2.0,2.0,0.15,2.0,2.0,22,19,13,8,1,8,18,44.4,10,16,4,12,9,31,29,0,1,16.0,6,0,3,1
5,2017-10-28,0,1,0,13,4,30.8,21.1,0,0,0,1.2,1.2,0.09,-1.2,-1.2,11,6,7,3,1,7,14,50.0,7,13,3,10,14,25,38,0,0,12.5,5,0,2,0
6,2017-11-05,1,0,1,12,2,16.7,20.2,0,0,0,0.9,0.9,0.07,0.1,0.1,20,10,8,10,2,5,13,38.5,8,7,3,4,13,33,32,1,1,12.0,6,0,10,1
7,2017-11-18,0,2,0,14,4,28.6,16.8,0,0,0,0.7,0.7,0.05,-0.7,-0.7,12,7,2,7,3,5,12,41.7,7,18,5,13,17,29,23,1,0,12.5,5,0,5,0
8,2017-12-13,2,0,2,25,7,28.0,18.1,1,0,0,1.5,1.5,0.06,0.5,0.5,15,9,3,8,4,5,10,50.0,5,7,1,6,6,21,6,0,1,20.0,2,0,7,1
9,2017-12-16,1,4,1,7,2,28.6,23.2,0,0,0,0.2,0.2,0.04,0.8,0.8,17,10,8,8,1,4,18,22.2,14,12,2,10,17,34,13,1,0,17.5,5,0,6,0
10,2018-01-04,1,1,1,31,8,25.8,18.7,0,0,0,1.8,1.8,0.06,-0.8,-0.8,19,15,7,7,5,3,12,25.0,9,4,0,4,13,32,15,0,1,20.0,3,0,9,2
11,2018-01-13,4,0,4,20,10,50.0,16.9,0,0,0,3.8,3.8,0.2,0.2,0.2,18,10,9,8,1,4,11,36.4,7,9,2,7,7,25,24,0,1,17.5,5,0,4,1
12,2018-01-31,2,0,1,22,6,27.3,19.5,1,0,0,1.5,1.5,0.07,-0.5,-0.5,26,14,15,7,4,12,21,57.1,9,8,1,7,18,44,20,0,1,20.0,2,0,2,1
13,2018-02-04,2,2,2,11,4,36.4,20.6,0,1,2,2.6,1.0,0.1,-0.6,0.0,16,8,11,4,1,6,19,31.6,13,5,2,3,6,22,18,1,0,16.5,6,0,3,2
14,2018-02-10,1,0,1,18,6,33.3,14.8,1,0,0,2.6,2.6,0.15,-1.6,-1.6,14,8,4,8,2,4,12,33.3,8,13,2,11,7,21,24,0,1,12.5,5,0,5,1
15,2018-02-25,1,0,1,14,4,28.6,21.2,1,0,0,1.7,1.7,0.12,-0.7,-0.7,14,9,1,8,5,3,8,37.5,5,6,1,5,6,20,18,1,0,12.0,6,0,10,1
16,2018-04-01,3,1,3,12,6,50.0,18.3,0,0,0,1.4,1.4,0.13,1.6,1.6,20,16,8,8,4,6,16,37.5,10,15,3,12,20,40,32,1,0,16.0,6,0,1,1
17,2018-04-14,1,3,1,8,3,37.5,20.2,0,0,0,0.4,0.4,0.05,0.6,0.6,22,15,12,7,3,8,21,38.1,13,11,6,5,17,39,16,1,1,19.75,5,0,6,0
18,2018-04-17,1,1,1,16,6,37.5,21.1,3,0,0,1.3,1.3,0.08,-0.3,-0.3,10,6,6,4,0,3,13,23.1,10,9,1,8,9,19,16,0,0,19.75,1,0,7,2
19,2018-05-09,1,0,1,11,7,63.6,17.4,1,0,0,0.8,0.8,0.07,0.2,0.2,12,7,5,4,3,4,11,36.4,7,7,2,5,8,20,33,1,1,20.0,2,0,8,1
20,2017-08-20,2,1,2,9,2,22.2,16.6,1,0,0,0.7,0.7,0.08,1.3,1.3,31,22,18,12,1,11,27,40.7,16,20,6,14,10,41,44,1,0,16.0,6,1,0,1
21,2017-08-27,2,0,2,18,7,38.9,19.4,0,0,0,1.0,1.0,0.05,1.0,1.0,14,9,7,4,3,3,10,30.0,7,9,2,7,7,21,25,0,1,13.5,6,1,4,1
